node1,node2,tstart,tend,line
Euston,King's Cross St. Pancras,891,892,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,892,895,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,895,897,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,898,900,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,901,902,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,903,904,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,905,906,Victoria line to Walthamstow Central
Brixton,Stockwell,881,882,Victoria line to Stockwell
Stockwell,Vauxhall,883,884,Victoria line to Vauxhall
Vauxhall,Pimlico,885,886,Victoria line to Pimlico
Pimlico,Victoria,886,888,Victoria line to Victoria
Victoria,Green Park,888,890,Victoria line to Green Park
Green Park,Oxford Circus,890,892,Victoria line to Oxford Circus
Oxford Circus,Warren Street,892,893,Victoria line to Warren Street
Warren Street,Euston,894,895,Victoria line or Northern line to Euston
Euston,King's Cross St. Pancras,895,896,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,897,899,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,900,902,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,902,905,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,906,907,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,907,909,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,909,911,Victoria line to Walthamstow Central
Brixton,Stockwell,885,887,Victoria line to Stockwell
Stockwell,Vauxhall,887,889,Victoria line to Vauxhall
Vauxhall,Pimlico,889,890,Victoria line to Pimlico
Pimlico,Victoria,891,892,Victoria line to Victoria
Victoria,Green Park,893,894,Victoria line to Green Park
Green Park,Oxford Circus,895,896,Victoria line to Oxford Circus
Oxford Circus,Warren Street,897,898,Victoria line to Warren Street
Warren Street,Euston,898,899,Northern line or Victoria line to Euston
Euston,King's Cross St. Pancras,900,901,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,901,904,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,904,906,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,906,909,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,910,911,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,912,913,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,914,915,Victoria line to Walthamstow Central
Brixton,Stockwell,890,891,Victoria line to Stockwell
Stockwell,Vauxhall,892,893,Victoria line to Vauxhall
Vauxhall,Pimlico,894,895,Victoria line to Pimlico
Pimlico,Victoria,895,897,Victoria line to Victoria
Victoria,Green Park,897,899,Victoria line to Green Park
Green Park,Oxford Circus,899,901,Victoria line to Oxford Circus
Oxford Circus,Warren Street,901,902,Victoria line to Warren Street
Warren Street,Euston,903,904,Victoria line or Northern line to Euston
Euston,King's Cross St. Pancras,904,905,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,906,908,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,909,911,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,911,914,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,915,916,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,917,918,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,919,920,Victoria line to Walthamstow Central
Brixton,Stockwell,896,898,Victoria line to Stockwell
Stockwell,Vauxhall,898,900,Victoria line to Vauxhall
Vauxhall,Pimlico,900,901,Victoria line to Pimlico
Pimlico,Victoria,902,903,Victoria line to Victoria
Victoria,Green Park,904,905,Victoria line to Green Park
Green Park,Oxford Circus,906,907,Victoria line to Oxford Circus
Oxford Circus,Warren Street,908,909,Victoria line to Warren Street
Warren Street,Euston,910,911,Northern line or Victoria line to Euston
Euston,King's Cross St. Pancras,911,912,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,913,915,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,915,917,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,918,921,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,922,923,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,923,925,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,925,927,Victoria line to Walthamstow Central
