node1,node2,tstart,tend,line
Warwick Avenue,Paddington,926,928,Bakerloo line to Paddington
Paddington,Edgware Road (Bakerloo),929,930,Bakerloo line to Edgware Road (Bakerloo Line)
Edgware Road (Bakerloo),Marylebone,930,931,Bakerloo line to Marylebone
Marylebone,Baker Street,932,933,Bakerloo line to Baker Street
Baker Street,Regent's Park,933,934,Bakerloo line to Regent's Park
Regent's Park,Oxford Circus,935,936,Bakerloo line to Oxford Circus
Oxford Circus,Piccadilly Circus,937,939,Bakerloo line to Piccadilly Circus
Piccadilly Circus,Charing Cross,939,940,Bakerloo line to Charing Cross
Charing Cross,Embankment,941,941,Bakerloo line or Northern line to Embankment
Embankment,Waterloo,942,943,Bakerloo line or Northern line to Waterloo
Waterloo,Lambeth North,944,945,Bakerloo line to Lambeth North
Lambeth North,Elephant & Castle,945,948,Bakerloo line to Elephant & Castle
